#{"t_start": 1691424182.8300047, "env_id": "None"}
r,l,t
-3381.856548,1102,710.782201
-3309.281885,1090,716.070936
-3300.343441,1095,721.368387
-3134.481267,1106,726.704968
-3324.649364,1098,732.528027
-3160.519483,1085,737.819
-3365.401337,1111,743.162581
-3336.24122,1087,748.465801
-3393.496669,1125,753.84923
-3155.287889,1090,759.698236
-3371.023411,1119,765.082989
-3075.412201,1099,770.427304
-3406.265311,1115,775.804965
-3307.739718,1090,781.123942
-3369.21745,1089,786.944982
-3071.074047,1103,792.302938
-3155.198478,1096,797.648613
-3171.34102,1102,803.013893
-3365.09789,1081,808.334249
-3163.846654,1094,814.19518
-3166.10503,1102,819.568086
-3200.577344,1091,824.91403
-3104.740121,1087,830.248236
-3353.336588,1101,835.604992
-3263.317422,1116,841.518707
-3333.568811,1106,846.907428
-3428.4426,1091,852.266681
-3364.667575,1087,857.626141
-3326.108239,1108,863.018631
-3375.814376,1081,868.877391
-3118.597741,1119,874.306454
-3203.31229,1103,879.693337
-3072.513709,1092,885.064029
-3305.946348,1076,890.387476
-3078.715997,1082,896.246015
-3305.273558,1092,901.627107
-3043.7833,1091,907.019012
-3241.457158,1104,912.436736
-3126.773017,1103,917.850622
-3364.388795,1102,923.788635
-3262.256898,1090,929.166563
-3170.327925,1102,934.581563
-3162.440734,1090,939.983217
-3264.525256,1091,945.370655
-3409.141318,1119,951.322256
-3170.974969,1119,956.797593
-3339.88898,1087,962.193908
-3419.504536,1106,967.639513
-3399.373253,1099,973.054685
-3287.859409,1095,979.008127
-3341.915948,1110,984.468888
-3386.908094,1095,989.902157
-3092.535162,1109,995.350969
-3321.321042,1096,1000.77741
-3367.014821,1087,1006.692983
-3035.14009,1110,1012.18248
-3245.582522,1088,1017.608041
-3376.259627,1097,1023.061994
-3302.147561,1107,1028.536269
-3220.031355,1094,1034.481172
-3358.34785,1114,1039.974155
-3141.724236,1099,1045.432317
-3351.620562,1088,1050.868065
-3222.827846,1082,1056.286615
-3159.988973,1098,1062.277651
-3408.901294,1094,1067.736096
-3390.542834,1114,1073.236802
-3330.259665,1099,1078.713718
-3089.632957,1089,1084.164912
-2989.585327,1092,1090.159089
-3157.25402,1110,1095.676293
-3346.119336,1097,1101.156595
-3105.243891,1096,1106.634616
-3440.62288,1110,1112.163216
-3222.659618,1098,1118.187206
-3149.92211,1091,1123.675379
-3129.960058,1087,1129.15399
-3133.387662,1087,1134.649799
-3338.391853,1103,1140.172091
-3132.467529,1090,1146.176925
-3136.254693,1086,1151.655774
-3363.771675,1102,1157.179065
-3373.258499,1101,1162.714997
-3288.025098,1102,1168.233088
-3081.970138,1092,1174.261754
-3131.586925,1080,1179.737579
-3324.074844,1086,1185.23697
-3353.042915,1097,1190.767821
-3263.738906,1095,1196.292988
-3372.679878,1098,1202.348229
-3207.072535,1101,1207.903948
-3114.020491,1084,1213.420092
-3350.174786,1118,1219.016845
-3093.696386,1096,1224.544728
-3438.247178,1130,1230.680728
-3432.419176,1101,1236.238603
-3114.115858,1103,1241.793782
-3133.146257,1098,1247.336363
-3457.421775,1133,1252.978827
-3110.345247,1105,1259.078723
-3187.921566,1102,1264.642045
-3365.763102,1085,1270.165678
-3482.346833,1123,1275.790644
-3276.956416,1090,1281.329464
-3153.084,1112,1287.457189
-3263.489551,1092,1293.029594
-3113.696438,1104,1298.619832
-3329.332431,1103,1304.216471
-3351.027375,1088,1309.768299
-3346.622119,1087,1315.868414
-3313.767001,1080,1321.41037
-3248.050707,1087,1326.967629
-3098.425436,1103,1332.570078
-3232.062628,1094,1338.153641
-3367.388028,1097,1344.281783
-3339.610855,1094,1349.86209
-3135.565987,1088,1355.432634
-3361.12979,1086,1360.992188
-3395.86656,1094,1366.586494
-3336.40894,1096,1372.744566
-3175.90629,1099,1378.351194
-3264.065567,1084,1383.900254
-3391.508284,1092,1389.462088
-3157.756588,1103,1395.075088
-3188.223162,1094,1401.204493
-3367.308162,1102,1406.805979
-3272.280921,1096,1412.400254
-3274.658489,1111,1418.037699
-3095.82597,1100,1423.646381
-3115.773777,1096,1429.791996
-3313.413185,1083,1435.363141
-3343.574757,1096,1440.970608
-3259.035555,1085,1446.537048
-3101.42056,1100,1452.157686
-3187.538807,1093,1458.300203
-3348.146756,1096,1463.91068
-3098.739666,1105,1469.558318
-3425.909049,1113,1475.216808
-3335.482157,1100,1480.849267
-3348.926186,1089,1486.988761
-3371.141673,1099,1492.618688
-3175.899404,1122,1498.30654
-3327.828647,1105,1503.951077
-3084.78127,1093,1509.577357
-3241.591787,1149,1515.894044
-3113.638132,1092,1521.537757
-3104.037916,1116,1527.254342
-3121.504448,1100,1532.918049
-3331.933736,1093,1538.559292
-3169.821563,1097,1544.793229
-3335.75334,1101,1550.478617
-3196.731023,1101,1556.161622
-3195.253069,1118,1561.887107
-3327.729646,1086,1567.523649
-3203.909699,1129,1573.816219
-3382.732294,1089,1579.464305
