#{"t_start": 1691694854.5098696, "env_id": "None"}
r,l,t
-240.508878,51,482.124318
-229.138228,52,482.51086
-233.98708,51,488.549303
-249.33722,51,488.85403
-217.15751,51,489.226482
-247.181083,51,489.545035
-245.498498,51,489.849609
-236.40755,51,490.254374
-226.033657,51,496.541484
-255.107436,51,496.843132
-240.865144,51,497.178453
-249.098826,51,497.519686
-240.167391,51,497.815265
-257.147973,51,498.200774
-229.684718,51,504.464037
-245.633171,51,504.762312
-240.488867,51,505.069496
-233.892674,51,505.414998
-229.810052,51,505.749468
-247.419227,52,506.149338
-216.64845,51,512.127244
-215.719505,51,512.469104
-216.297902,51,512.773351
-234.04138,51,513.078212
-247.027498,51,513.41995
-247.016691,51,513.832782
-231.223295,51,519.60236
-245.062847,51,519.914812
-242.66218,51,520.322478
-237.034102,51,520.635448
-228.953364,51,520.931221
-249.055551,51,521.331772
-236.737291,51,527.179827
-240.500943,51,527.512512
-246.578458,51,527.813968
-233.132297,51,528.123869
-243.97101,51,528.46374
-241.363116,51,528.80687
-240.572425,51,535.528486
-215.32683,51,535.81814
-226.387979,51,536.13497
-207.545876,51,536.47686
-240.49164,51,536.786612
-237.66325,51,537.12609
-229.821534,51,543.498669
-245.28379,51,543.812569
-241.942894,51,544.128942
-217.582158,51,544.467279
-232.202526,51,544.769391
-234.825391,51,545.112314
-257.08724,51,550.814359
-238.06419,51,551.154957
-243.768941,51,551.503408
-222.590339,51,551.802685
-236.206434,51,552.112875
-240.410328,51,552.489861
-251.386895,51,558.492118
-243.797111,51,558.774147
-233.711183,51,559.069688
-243.609027,51,559.401623
-228.462006,51,559.698867
-239.493481,51,560.027712
-248.06563,51,567.358809
-221.950958,51,567.666615
-228.06815,51,567.97735
-244.663145,51,568.3176
-233.727683,51,568.627332
-250.532221,51,568.962812
-229.498993,51,575.172895
-236.239769,51,575.508287
-237.090939,51,575.816974
-237.21329,51,576.14811
-241.90703,51,576.51952
-238.436734,51,576.852362
-241.418062,51,582.95868
-243.299409,51,583.397034
-245.588933,51,583.739619
-215.352812,51,584.0446
-228.726507,51,584.389012
-244.821646,52,584.746977
-253.28372,51,590.64004
-221.063438,51,591.015027
-248.369045,51,591.363415
-217.918209,51,591.664141
-227.419467,51,591.97794
-233.086431,52,592.377641
-225.151785,51,598.172626
-233.943648,51,598.501135
-225.267445,51,598.793658
-242.330938,51,599.112334
-246.437689,51,599.451606
-225.839419,51,599.78033
-247.794929,51,605.580667
-226.818942,51,605.88382
-239.784079,51,606.227522
-219.105937,51,606.543442
-228.9185,51,606.846645
-239.65117,51,607.212104
-242.236727,51,613.064308
-235.000629,51,613.414684
-241.559227,51,613.715585
-244.722031,51,614.022704
-231.29946,51,614.354586
-228.021631,51,614.702268
-258.08922,53,620.610507
-245.773222,53,620.918411
-258.00046,53,621.276389
-266.834933,58,621.599028
-261.077147,53,621.920759
-254.579645,53,622.519708
-257.809189,54,628.553852
-250.49068,53,628.859154
-264.336083,53,629.176402
-250.142004,53,629.49772
-263.144377,53,629.82211
-243.253589,53,630.25705
-260.466687,54,635.898808
-266.614294,53,636.243694
-262.874956,56,636.568478
-249.784875,54,636.876597
-257.457371,54,637.191921
-267.034631,53,637.556926
-248.114994,53,643.533761
-260.276039,53,643.896769
-274.06642,58,644.287385
-262.072309,54,644.674647
-256.752991,54,645.058974
-266.977351,54,645.592031
-252.921313,53,656.104113
-261.48239,53,656.464693
-275.27006,53,656.768837
-255.814169,54,657.093215
-275.894831,61,657.499972
-276.955771,54,657.89589
-264.139699,53,663.927977
-273.463743,53,664.267974
-257.340612,53,664.629139
-252.947622,53,664.932248
-235.853177,53,665.265958
-252.866488,54,665.687937
-262.929262,54,671.991976
-262.685293,57,673.139906
-259.749736,54,673.507552
-255.376537,54,673.825681
-264.412555,53,674.143637
-263.141769,54,674.532051
-260.502821,53,680.311799
-262.41789,53,680.626687
-266.773694,53,680.925428
-265.539416,53,681.306066
-261.149749,55,681.663005
-268.886715,54,682.034327
-255.87637,53,688.143018
-247.656329,54,688.521494
-262.898128,54,688.824369
-251.322852,53,689.134274
-267.746307,59,689.500935
-256.113071,53,689.839541
-251.648033,53,695.986145
-250.821122,53,696.342263
-260.50403,53,696.692184
-262.851849,53,697.009799
-267.356193,53,697.395708
-256.721688,53,697.765079
-272.279054,53,703.912859
-261.796053,53,704.23552
-273.437262,53,704.576535
-257.495099,54,704.894149
-263.713949,57,705.240162
-289.106013,62,705.660281
-251.736412,53,712.25818
-280.136807,61,712.618348
-242.140274,54,712.927396
-250.663552,54,713.302928
-254.171451,53,713.643188
-275.025624,62,714.004354
-263.79541,58,720.310686
-273.40353,53,720.632537
-254.265997,53,720.945996
-265.196163,55,721.279933
-255.827271,54,721.624728
-251.471247,53,721.958392
-246.196064,53,727.46921
-241.853925,53,727.792463
-256.028586,53,728.148386
-257.613973,53,728.506963
-250.996526,53,728.827425
-258.846855,53,729.180666
-256.402094,53,735.167794
-276.297896,62,735.528444
-255.934006,56,735.852023
-255.665499,56,736.194762
-227.238447,55,736.646436
-256.389353,53,737.061822
-248.238795,54,743.357193
-260.20043,54,743.716438
-278.914665,53,744.017164
-262.144399,53,744.391042
-264.487903,54,744.71461
-264.096975,53,745.061033
-258.382176,53,751.033226
-258.987965,53,751.371374
-268.940533,58,751.703152
-264.69919,53,752.008109
-285.846873,61,752.366805
-257.704307,53,752.70953
-256.535405,53,759.119498
-256.900969,53,759.470741
-254.122711,58,759.786374
-249.462307,53,760.09156
-257.242407,55,760.459613
-262.610506,53,760.797628
-257.184475,54,766.774716
-271.695242,53,767.080727
-260.980705,53,767.457843
-266.519457,54,767.756019
-239.209661,53,768.053549
-259.638586,54,768.455907
-249.723177,55,774.284333
-258.343947,56,774.614835
-266.06592,53,774.913965
-264.402471,53,775.229087
-258.494094,53,775.559106
-266.358686,55,775.911055
-268.666767,53,781.665285
-257.058703,54,782.030409
-266.641977,53,782.35423
-250.033566,53,782.674149
-257.995203,54,782.966406
-259.569608,53,783.318096
-267.927404,55,789.096414
-257.220742,53,789.454763
-272.782187,53,789.763327
-264.635587,53,790.130528
-262.026307,54,790.546338
-281.366068,60,790.967151
-255.648386,54,797.586496
-258.321617,54,797.945089
-254.075211,53,798.312162
-251.494966,55,798.693547
-273.596006,57,799.007213
-284.368361,61,799.433999
-256.198344,56,805.927626
-239.82573,53,806.233657
-265.02973,59,806.57773
-269.190187,57,806.877147
-263.895753,55,807.177453
-266.534653,53,807.514556
-271.063081,53,812.866948
-277.348989,60,813.277653
-271.142204,53,813.620683
-264.258667,56,813.952961
-264.882723,57,814.30274
-272.196512,53,814.68785
-247.65202,54,820.553677
-264.413144,53,820.861783
-261.750659,53,821.188717
-268.009612,53,821.539187
-263.102823,54,821.842517
-252.821145,53,822.173171
-260.059042,55,827.90124
-273.76307,53,828.210006
-249.162884,53,828.558289
-251.245279,53,828.86746
-271.512095,53,829.171012
-267.510503,53,829.567853
-275.477136,61,836.497104
-258.539118,53,836.869569
-259.197702,56,837.353011
-269.590567,53,837.807217
-265.097175,55,838.295729
-256.73045,54,838.811914
-260.314385,53,848.403986
-259.590228,54,848.720538
-266.144244,56,849.041021
-254.124547,53,849.372482
-265.164739,53,849.712986
-261.756112,53,850.069026
-270.140465,53,856.007851
-262.480812,53,856.352232
-265.260454,53,856.688243
-258.748481,53,856.994312
-257.302794,54,857.330335
-261.300775,53,857.696215
-260.338736,56,863.79602
-275.206112,53,864.119147
-262.845215,57,864.472111
-276.316778,53,864.777613
-269.121248,53,865.093469
-257.580249,54,865.483433
-255.945607,53,871.236494
-251.116731,55,871.569443
-253.666501,54,871.871953
-266.348905,53,872.169792
-281.294151,53,872.509986
-295.693515,54,872.839072
-250.062201,57,878.639976
-301.474143,64,878.963017
-271.556393,60,879.303176
-242.990968,54,879.633552
-257.560858,53,879.934654
-268.278063,53,880.291151
-255.754521,53,886.514529
-221.056923,57,886.84983
-262.26976,53,887.160551
-259.19941,53,887.51584
-261.652627,53,887.817271
-318.329736,70,888.211299
-253.09624,53,894.677766
-258.351763,55,894.972952
-252.025967,53,895.286788
-260.031769,56,895.633273
-252.698656,53,895.945759
-280.160798,53,896.320386
-269.597771,56,901.468612
-248.174244,54,901.787495
-278.760843,53,902.096146
-267.737146,57,902.466908
-255.533865,55,902.788855
-247.608934,53,903.130854
-265.291964,54,909.095282
-264.407569,53,909.445138
-294.020868,62,909.776236
-260.721769,53,910.084607
-279.981448,53,910.441342
-265.076103,56,910.866395
-260.509544,53,917.147159
-289.226395,61,917.539605
-268.553291,53,917.846321
-262.848187,53,918.16818
-265.38789,53,918.537727
-282.395974,54,918.900664
-256.856297,53,925.461294
-251.723758,53,925.780403
-243.096398,53,926.107498
-268.694737,53,926.47318
-252.640426,54,926.791713
-286.949047,61,927.184623
-258.608755,53,934.220383
-275.62271,57,934.605864
-257.571251,53,934.91525
-264.681527,54,935.248539
-253.563839,53,935.612315
-266.533318,55,935.976645
-255.780542,53,941.666118
-265.56291,54,941.965024
-256.889119,54,942.290018
-259.047376,53,942.630427
-265.094004,53,942.939055
-255.57519,53,943.301132
-244.831045,56,949.470572
-268.156787,55,949.819017
-276.675408,53,950.144709
-259.369397,54,950.495681
-283.944127,53,950.809806
-259.969058,53,951.157851
-257.761022,54,957.06811
-251.554822,54,957.427264
-256.666364,53,957.748616
-279.582313,59,958.074263
-264.256405,53,958.418515
-268.161173,54,958.794642
-256.474989,53,971.133442
-243.151406,54,971.624528
-267.562566,53,971.982846
-268.834611,54,972.485488
-251.872356,54,972.883038
-265.143638,58,973.369123
-269.365459,54,985.528228
-259.503256,53,985.838681
-252.606217,54,986.159204
-268.845966,53,986.552445
-270.575745,53,986.861169
-266.113357,57,987.254047
-262.173752,55,992.993968
-260.789882,53,993.341223
-257.653257,53,993.741402
-251.715867,54,994.064023
-269.663989,53,994.404818
-262.392502,56,994.761192
-251.348417,53,1000.486338
-261.062922,53,1000.784083
-266.096253,53,1001.091982
-249.43589,53,1001.428881
-263.005727,55,1001.74315
-273.609284,57,1002.11411
-263.321505,54,1008.30723
-241.027461,54,1008.657739
-257.01608,54,1008.976579
-270.494465,57,1009.332695
-257.76052,54,1009.674026
-269.301436,57,1010.027536
-269.290869,53,1016.250592
-252.746078,54,1016.623171
-261.156709,53,1016.934234
-258.901078,55,1017.259657
-253.394946,54,1017.624464
-273.716115,55,1017.974089
-279.306518,60,1024.079135
-251.637653,54,1024.447569
-258.843547,53,1024.770096
-267.832491,53,1025.136667
-237.138722,55,1025.503118
-263.476711,53,1025.852736
-261.965241,53,1037.384709
-270.30194,59,1037.745111
-258.644928,54,1038.064449
-273.07522,58,1038.437685
-269.911371,58,1038.765313
-263.45957,53,1039.117417
-237.146647,54,1046.858489
-256.572035,53,1047.174966
-268.760833,53,1047.518888
-265.18052,53,1047.836131
-261.464165,53,1048.218703
-269.681686,54,1048.590968
-256.248139,53,1054.423405
-262.368143,53,1054.729422
-257.54984,53,1055.050367
-257.70456,53,1055.388003
-250.047091,53,1055.728772
-262.389272,55,1056.135873
-269.41618,59,1062.786922
-267.178326,53,1063.095396
-243.279348,55,1063.466501
-269.593813,53,1063.781553
-259.719788,54,1064.087039
-252.299544,53,1064.480055
-247.116115,53,1070.335622
-264.098256,58,1070.678091
-276.835004,59,1070.999906
-261.799197,56,1071.338813
-259.255927,55,1071.66099
-244.179684,54,1072.005679
-249.515497,56,1078.561407
-261.957927,53,1078.867207
-263.62638,53,1079.207946
-258.343067,54,1079.580477
-235.293749,53,1079.888942
-255.604994,53,1080.253158
-245.786468,53,1086.274263
-242.872768,54,1086.610695
-258.651635,53,1086.916009
-267.666117,54,1087.26055
-262.872688,56,1087.627962
-269.467126,59,1088.114024
-262.542561,54,1094.835639
-262.106591,54,1095.142574
-276.275783,59,1095.511363
-264.853275,54,1095.814004
-240.979864,54,1096.116885
-248.733222,53,1096.502808
-261.641764,54,1101.817747
-252.862887,53,1102.174814
-248.904061,53,1102.682583
-256.268662,54,1103.070406
-266.211254,57,1103.421733
-268.157142,54,1103.775004
-261.35351,53,1109.714725
-253.94334,53,1110.010623
-273.417077,58,1110.382422
-262.460239,53,1110.713572
-294.176598,62,1111.023011
-271.796626,55,1111.396553
-264.304196,55,1117.125406
-281.995292,60,1117.479695
-252.257986,54,1117.785421
-280.594049,60,1118.09358
-265.648681,56,1118.458768
-274.932851,56,1118.870129
-279.786326,53,1124.643565
-271.477586,53,1124.939044
-248.781788,53,1125.255303
-255.959225,54,1125.61077
-259.572668,54,1125.927158
-290.067455,63,1126.318364
-256.114196,53,1132.440895
-261.718369,55,1132.930927
-243.486683,53,1133.338933
-268.750601,53,1133.664243
-256.102037,54,1133.967554
-265.525971,54,1134.322534
-260.071918,53,1139.75256
-257.782265,53,1140.049292
-260.835966,54,1140.382803
-269.416025,53,1140.706559
-264.020666,56,1141.00864
-257.574851,54,1141.37934
-256.593366,54,1147.597578
-272.054265,53,1147.918339
-249.712365,53,1148.219174
-271.141893,55,1148.568411
-266.708585,56,1148.876899
-272.647235,53,1149.236362
-255.114702,53,1155.054888
-248.334852,56,1155.397483
-245.206068,53,1155.719105
-267.29403,57,1156.02345
-264.979531,55,1156.380478
-272.849041,54,1156.740953
-266.739481,61,1163.317671
-266.639366,55,1163.670889
-281.362296,60,1163.989261
-259.807,54,1164.311326
-254.517834,53,1164.668369
-248.580436,54,1165.006843
-253.200972,54,1171.071698
-274.712833,54,1171.422716
-252.2248,53,1171.735856
-275.600468,53,1172.025292
-257.663874,54,1172.356977
-262.286547,55,1172.781837
-272.14176,53,1178.63341
-262.435177,53,1178.942448
-251.566523,53,1179.267188
-259.97844,55,1179.605273
-262.566362,56,1179.916203
-250.001645,53,1180.293607
-271.059283,54,1185.944494
-274.69206,59,1186.286025
-261.720773,54,1186.625655
-265.491165,54,1186.938285
-248.701418,54,1187.261295
-273.023443,57,1187.647224
-326.102912,68,1193.692486
-302.593539,62,1194.010613
-304.040641,59,1194.359632
-301.742914,59,1194.692215
-287.284489,57,1195.000001
-300.726551,60,1195.403388
-299.344216,60,1201.282667
-287.211753,59,1201.645787
-304.384465,59,1201.96532
-289.85836,59,1202.310053
-308.052932,64,1202.661533
-300.992653,61,1203.011773
-286.789553,60,1209.081912
-332.162591,69,1209.457929
-295.303639,61,1209.781867
-288.057166,65,1210.11608
-651.502185,198,1210.71808
-328.407246,71,1211.096005
-311.527143,61,1217.445882
-317.330683,67,1217.778068
-295.173726,58,1218.110872
-303.579991,61,1218.65038
-292.559702,58,1219.039535
-300.402122,62,1219.540581
-336.337251,71,1231.087869
-688.027599,206,1231.748848
-329.4365,70,1232.089153
-306.9268,62,1232.446827
-804.428883,255,1233.182364
-290.082039,56,1233.591282
-340.130659,70,1239.270483
-311.866048,66,1239.651167
-300.617952,63,1239.977746
-300.059601,61,1240.33972
-321.292155,65,1240.695376
-296.285381,57,1241.057405
-304.035163,60,1247.132268
-308.196236,64,1247.608336
-309.038793,63,1247.931253
-287.849155,57,1248.272105
-313.618795,63,1248.642666
-289.762934,57,1248.988634
-307.273991,60,1254.865516
-302.705662,64,1255.198594
-295.009978,59,1255.577667
-297.666441,61,1255.914171
-343.155594,70,1256.268466
-302.432932,63,1256.690455
-324.459056,65,1262.764675
-295.952376,62,1263.087563
-296.055032,61,1263.44743
-320.02927,66,1263.79517
-305.330479,62,1264.147268
-282.894463,56,1264.629422
-295.704632,61,1270.188233
-299.191904,61,1270.538301
-290.953129,58,1270.850427
-273.7046,60,1271.159014
-364.722924,75,1271.556214
-303.863191,62,1271.898834
-312.093923,66,1278.040087
-619.745897,173,1278.624589
-314.401276,64,1278.945128
-294.619518,59,1279.269077
-722.974191,216,1279.942097
-289.526548,59,1280.31782
-312.873757,65,1287.377291
-280.328029,57,1287.719438
-304.190738,63,1288.040271
-303.437197,63,1288.391425
-295.457643,60,1288.737969
-289.480864,56,1289.088627
-304.733494,60,1295.172032
-298.025818,62,1295.525566
-306.208864,67,1295.852668
-300.152134,61,1296.170652
-298.232488,61,1296.547812
-301.979659,63,1296.916595
-288.907339,60,1303.18531
-554.722949,183,1303.88948
-307.676254,63,1304.22135
-310.589848,63,1304.59486
-323.068529,68,1304.921288
-297.97721,61,1305.288679
-278.731921,64,1311.160166
-299.597692,60,1311.529269
-331.623745,69,1311.880783
-288.263314,61,1312.201785
-314.234459,63,1312.580281
-305.223269,62,1312.938561
-298.924267,62,1318.97305
-336.037968,71,1319.340557
-301.031824,60,1319.699885
-306.139686,60,1320.023138
-319.719232,66,1320.380481
-304.380188,68,1320.774769
-805.39226,239,1327.075727
-298.028273,61,1327.433433
-325.919114,65,1327.766891
-293.502588,58,1328.077507
-294.286324,59,1328.421402
-298.271993,61,1328.803609
-298.105055,60,1334.253694
-299.600457,59,1334.610052
-325.734692,67,1334.925966
-302.947297,60,1335.237637
-305.354099,64,1335.600395
-323.395503,67,1335.965806
-294.817833,58,1342.190609
-294.111188,60,1342.739125
-315.533236,67,1343.063892
-305.866752,62,1343.425996
-299.069801,61,1343.762925
-283.347656,56,1344.101274
-321.481226,64,1349.659483
-289.240507,57,1350.002208
-296.766889,61,1350.337642
-308.734185,63,1350.698143
-313.871388,63,1351.063723
-283.052213,58,1351.459615
-313.555333,64,1357.371412
-300.099492,61,1357.710816
-333.299048,67,1358.131836
-285.003256,59,1358.587646
-329.928402,69,1358.922145
-313.247763,63,1359.353671
-666.547879,204,1365.750403
-302.579248,63,1366.072839
-321.001972,66,1366.431692
-305.364548,62,1366.775613
-318.109078,67,1367.104115
-281.802882,59,1367.513514
-301.743755,62,1373.237949
-324.573422,66,1373.62366
-307.965733,64,1373.96944
-301.543504,60,1374.303122
-307.427062,62,1374.675221
-278.337345,56,1375.011151
-306.302493,62,1381.203323
-307.929857,63,1381.567866
-294.129164,62,1381.885792
-300.453875,60,1382.226314
-329.799772,68,1382.618092
-291.367775,60,1382.976353
-299.963953,60,1389.047887
-306.307725,61,1389.419071
-289.481724,59,1389.7669
-310.576732,67,1390.101223
-1007.014094,274,1390.904084
-331.504655,67,1391.307419
-304.2541,64,1397.368656
-754.634162,221,1398.029791
-557.200933,150,1398.552739
-335.020794,68,1398.880473
-309.188663,61,1399.212355
-325.588624,71,1399.660083
-316.343438,64,1406.24439
-323.995412,67,1406.622704
-288.422326,61,1406.948002
-327.815854,67,1407.305484
-288.508071,59,1407.661334
-310.393688,67,1408.020623
-281.869214,57,1419.152493
-305.689934,61,1419.598494
-294.829347,60,1420.044729
-320.243687,65,1420.590083
-301.230985,61,1421.023801
-283.694224,56,1421.520285
-307.803253,62,1426.914511
-299.1553,61,1427.223377
-805.155564,231,1427.912876
-318.225763,62,1428.253415
-335.489431,70,1428.637996
-300.302993,56,1428.972145
-291.957216,59,1435.358423
-309.154085,62,1435.725824
-320.157068,65,1436.053765
-304.30707,65,1436.437268
-325.878087,68,1436.791871
-286.221982,56,1437.125634
-311.734787,62,1443.592175
-298.112547,59,1444.071918
-321.802157,66,1444.739626
-311.803133,59,1445.224798
-325.817246,68,1445.792924
-304.950736,64,1446.31089
-299.168416,62,1458.271184
-570.187438,183,1459.126902
-301.25728,59,1459.624585
-296.817739,61,1460.013839
-336.703482,69,1460.591011
-286.562773,55,1461.054117
-319.720647,65,1467.257482
-883.979285,249,1468.028527
-324.999199,67,1468.372189
-297.970474,60,1468.711188
-290.480688,60,1469.025668
-313.64731,67,1469.423783
-824.221479,218,1476.366401
-293.583167,62,1476.725335
-800.901862,237,1477.41352
-300.12589,65,1477.768567
-298.617757,60,1478.104216
-314.787058,67,1478.509592
-321.461296,68,1484.361384
-306.026115,63,1484.729988
-302.496833,63,1485.059737
-689.183584,218,1485.755444
-307.929028,60,1486.066677
-310.431084,63,1486.482024
-300.557092,60,1492.29537
-294.977339,61,1492.683891
-803.046795,238,1493.367268
-872.771769,266,1494.099774
-317.741581,63,1494.452062
-295.046969,57,1494.823187
-313.98337,62,1500.298031
-304.201443,61,1500.658424
-305.546509,62,1501.027474
-293.461551,60,1501.355381
-310.98249,64,1501.709101
-288.764715,56,1502.044217
-282.13914,64,1507.91498
-320.96831,65,1508.259834
-304.845739,61,1508.645006
-309.923871,65,1508.955503
-790.695463,230,1509.639683
-315.143866,64,1510.019548
-318.826894,65,1516.172252
-300.489262,60,1516.52861
-311.403374,64,1516.861681
-329.797628,66,1517.18768
-297.293919,62,1517.619976
-301.295572,64,1517.98591
-319.728985,70,1524.162003
-298.006688,60,1524.510315
-324.194476,67,1524.84317
-308.049337,64,1525.172641
-320.134713,64,1525.523997
-310.995788,63,1525.912794
-308.866648,63,1532.677554
